"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Flexible architecture conformance assessment with ConQAT","F. Deissenboeck; L. Heinemann; B. Hummel; E. Juergens","Technische Universität München, Garching bei Munchen, Germany; Technische Universität München, Garching bei Munchen, Germany; Technische Universität München, Garching bei Munchen, Germany; Technische Universität München, Garching bei Munchen, Germany","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","2","","247","250","The architecture of software systems is known to decay if no counter-measures are taken. In order to prevent this architectural erosion, the conformance of the actual system architecture to its intended architecture needs to be assessed and controlled; ideally in a continuous manner. To support this, we present the architecture conformance assessment capabilities of our quality analysis framework ConQAT. In contrast to other tools, ConQAT is not limited to the assessment of use-dependencies between software components. Its generic architectural model allows the assessment of various types of dependencies found between different kinds of artifacts. It thereby provides the necessary tool-support for flexible architecture conformance assessment in diverse contexts.","1558-1225","978-1-60558-719-6","10.1145/1810295.1810343","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062171","","Computer architecture;Databases;Software systems;Cloning;Java;Companies","software architecture;software quality","flexible architecture conformance assessment;software system architecture;software component;ConQAT quality analysis framework","","6","","11","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Can clone detection support quality assessments of requirements specifications?","E. Juergens; F. Deissenboeck; M. Feilkas; B. Hummel; B. Schaetz; S. Wagner; C. Domann; J. Streit","Technische Universität München, Munchen, Germany; Technische Universität München, Munchen, Germany; Technische Universität München, Munchen, Germany; Technische Universität München, Munchen, Germany; Technische Universität München, Munchen, Germany; Technische Universität München, Munchen, Germany; Itestra GmbH, Munchen, Germany; Itestra GmbH, Munchen, Germany","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","2","","79","88","Due to their pivotal role in software engineering, considerable effort is spent on the quality assurance of software requirements specifications. As they are mainly described in natural language, relatively few means of automated quality assessment exist. However, we found that clone detection, a technique widely applied to source code, is promising to assess one important quality aspect in an automated way, namely redundancy that stems from copy & paste operations. This paper describes a large-scale case study that applied clone detection to 28 requirements specifications with a total of 8,667 pages. We report on the amount of redundancy found in real-world specifications, discuss its nature as well as its consequences and evaluate in how far existing code clone detection approaches can be applied to assess the quality of requirements specifications in practice.","1558-1225","978-1-60558-719-6","10.1145/1810295.1810308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062141","clone detection;redundancy;requirements specification","Cloning;Software;Redundancy;Inspection;Programming;Quality assessment","formal specification;software quality","clone detection;quality assessment;software engineering;quality assurance;software requirements specification;source code;redundancy;copy operation;paste operation","","13","","26","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Domain-specific tailoring of code smells: an empirical study","Y. Guo; C. Seaman; N. Zazworka; F. Shull","Department of Information Systems, University of Maryland Baltimore County, Baltimore, MD, USA; Department of Information Systems, University of Maryland Baltimore County, Baltimore, MD, USA; Fraunhofer Center of Experimental Software Engineering, College Park, MD, USA; Fraunhofer Center of Experimental Software Engineering, College Park, MD, USA","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","2","","167","170","Code smells refer to commonly occurring patterns in source code that indicate poor programming practices or code decay. Detecting code smells helps developers find design problems that can cause trouble in future maintenance. Detection rules for code smells, based on software metrics, have been proposed, but they do not take domain-specific characteristics into consideration. In this study we investigate whether such generic heuristics can be tailored to include domain-specific factors. Input into these domain-specific heuristics comes from an iterative empirical field study in a software maintenance project. The results yield valuable insight into code smell detection.","1558-1225","978-1-60558-719-6","10.1145/1810295.1810321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062151","code smells;domain-specific;empirical study","Software;Measurement;Programming;Graphical user interfaces;Encoding;Couplings;Semantics","software maintenance;software metrics","domain-specific tailoring;code smells;source code;poor programming practices;code decay;software metrics;domain-specific heuristics;software maintenance project","","8","","6","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Staying afloat in an expanding sea of choices: emerging best practices for eclipse rich client platform development","A. Kornstaedt; E. Reiswich","C1-WPS, Hamburg, Germany; C1-WPS, Hamburg, Germany","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","2","","59","67","The Eclipse Rich Client Platform attracts considerable attention for being a promising candidate for providing the component model Java never had. This is even truer since the incorporation of OSGi for providing services within the framework. However, the rapid sequence of new versions and the continuous growth of features lead to a discussion that almost exclusively focused on technological aspects while leaving application developers in the midst of a sea of sometimes conflicting choices of how to implement their business-oriented applications. This lack of guidance leads to systems with vastly different architectures (or lack thereof) which often force complete rewrites when further development steps are to be taken. The best practices and architectural blueprints that provide this guidance in the field of object- or service-orientation haven't emerged yet. In this experience report, we render our observations made in several projects over the last years about the challenges that cooperating teams of application developers face when using RCP. We provide a first business-oriented architectural blue-print and best practices that have helped us greatly to overcome these challenges.","1558-1225","978-1-60558-719-6","10.1145/1810295.1810305","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062139","Eclipse;OSGi;RCP;bundles;component-based architecture;plug-in;rich client platform","Best practices;Libraries;Servers;Java;Software;Switches","object-oriented languages;software engineering","Eclipse rich client platform development;component model;Java;OSGi;business-oriented applications;architectural blueprints;object-orientation;service-orientation;RCP;business-oriented architectural blue-print","","","","27","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Identifying crosscutting concerns using historical code changes","B. Adams; Z. M. Jiang; A. E. Hassan","Software Analysis and Intelligence Laboratory (SAIL), School of Computing, Queens University, Canada; Software Analysis and Intelligence Laboratory (SAIL), School of Computing, Queens University, Canada; Software Analysis and Intelligence Laboratory (SAIL), School of Computing, Queens University, Canada","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","1","","305","314","Detailed knowledge about implemented concerns in the source code is crucial for the cost-effective maintenance and successful evolution of large systems. Concern mining techniques can automatically suggest sets of related code fragments that likely contribute to the implementation of a concern. However, developers must then spend considerable time understanding and expanding these concern seeds to obtain the full concern implementation. We propose a new mining technique (COMMIT) that reduces this manual effort. COMMIT addresses three major shortcomings of current concern mining techniques: 1) their inability to merge seeds with small variations, 2) their tendency to ignore important facets of concerns, and 3) their lack of information about the relations between seeds. A comparative case study on two large open source C systems (Post-greSQL and NetBSD) shows that COMMIT recovers up to 87.5% more unique concerns than two leading concern mining techniques, and that the three techniques complement each other.","1558-1225","978-1-60558-719-6","10.1145/1806799.1806846","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062098","concern mining;empirical research;mining software repositories","Data mining;Mutual information;Scattering;Synchronization;Servers;Maintenance engineering;Software","C language;data mining;public domain software;software maintenance","crosscutting concerns;historical code;COMMIT;concern mining techniques;open source C systems;cost-effective maintenance","","16","","39","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Recurring bug fixes in object-oriented programs","T. T. Nguyen; H. A. Nguyen; N. H. Pham; J. Al-Kofahi; T. N. Nguyen","Electrical and Computer Engineering Department, Iowa State University, USA; Electrical and Computer Engineering Department, Iowa State University, USA; Electrical and Computer Engineering Department, Iowa State University, USA; Electrical and Computer Engineering Department, Iowa State University, USA; Electrical and Computer Engineering Department, Iowa State University, USA","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","1","","315","324","Previous research confirms the existence of recurring bug fixes in software systems. Analyzing such fixes manually, we found that a large percentage of them occurs in code peers, the classes/methods having the similar roles in the systems, such as providing similar functions and/or participating in similar object interactions. Based on graph-based representation of object usages, we have developed several techniques to identify code peers, recognize recurring bug fixes, and recommend changes for code units from the bug fixes of their peers. The empirical evaluation on several open-source projects shows that our prototype, FixWizard, is able to identify recurring bug fixes and provide fixing recommendations with acceptable accuracy.","1558-1225","978-1-60558-719-6","10.1145/1806799.1806847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062099","","Peer to peer computing;Object oriented modeling;Shape;Character recognition;Object oriented programming;Prototypes;Object recognition","graph theory;object-oriented programming;program debugging;public domain software","object-oriented programs;software systems;graph-based representation;open-source projects;recurring bug fixes","","28","","32","","27 Oct 2011","","","IEEE","IEEE Conferences"
"An analysis of the variability in forty preprocessor-based software product lines","J. Liebig; S. Apel; C. Lengauer; C. Kästner; M. Schulze","University of Passau, Germany; University of Passau, Germany; University of Passau, Germany; University of Magdeburg, Germany; University of Magdeburg, Germany","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","1","","105","114","Over 30 years ago, the preprocessor cpp was developed to extend the programming language C by lightweight metaprogramming capabilities. Despite its error-proneness and low abstraction level, the preprocessor is still widely used in present-day software projects to implement variable software. However, not much is known about how cpp is employed to implement variability. To address this issue, we have analyzed forty open-source software projects written in C. Specifically, we answer the following questions: How does program size influence variability? How complex are extensions made via cpp's variability mechanisms? At which level of granularity are extensions applied? Which types of extension occur? These questions revive earlier discussions on program comprehension and refactoring in the context of the preprocessor. To provide answers, we introduce several metrics measuring the variability, complexity, granularity, and types of extension applied by preprocessor directives. Based on the collected data, we suggest alternative implementation techniques. Our data set is a rich source for rethinking language design and tool support.","1558-1225","978-1-60558-719-6","10.1145/1806799.1806819","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062078","C preprocessor;empirical study;software product lines","Measurement;Software systems;Feature extraction;Complexity theory;Scattering;Correlation","C language;product development;program processors;software maintenance;software reusability","preprocessor-based software product lines;programming language C;present-day software projects;variability;open-source software projects;program comprehension;program refactoring;rethinking language design","","59","","35","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Clone detection: Why, what and how?","M. Akhin; V. Itsykson","Saint Petersburg State Polytechnical University, Russia; Saint Petersburg State Polytechnical University, Russia","2010 6th Central and Eastern European Software Engineering Conference (CEE-SECR)","31 May 2011","2010","","","36","42","Excessive code duplication is a bane of modern software development. Several experimental studies show that on average 15 percent of a software system can contain source code clones - repeatedly reused fragments of similar code. While code duplication may increase the speed of initial software development, it undoubtedly leads to problems during software maintenance and support. That is why many developers agree that software clones should be detected and dealt with at every stage of software development life cycle. This paper is a brief survey of current state-of-the-art in clone detection. First, we highlight main sources of code cloning such as copy-and-paste programming, mental code patterns and performance optimizations. We discuss reasons behind the use of these techniques from the developer's point of view and possible alternatives to them. Second, we outline major negative effects that clones have on software development. The most serious drawback duplicated code have on software maintenance is increasing the cost of modifications - any modification that changes cloned code must be propagated to every clone instance in the program. Software clones may also create new software bugs when a programmer makes some mistakes during code copying and modification. Increase of source code size due to duplication leads to additional difficulty of code comprehension. Third, we review existing clone detection techniques. Classification based on used source code representation model is given in this work. We also describe and analyze some concrete examples of clone detection techniques highlighting main distinctive features and problems that are present in practical clone detection. Finally, we point out some open problems in the area of clone detection. Currently questions like ""What is a code clone?"", ""Can we predict the impact clones have on software quality"" and ""How can we increase both clone detection precision and recall at the same time? "" stay open to further research. We list the most important questions in modern clone detection and explain why they continue to remain unanswered despite all the progress in clone detection research.","","978-1-4577-0606-6","10.1109/CEE-SECR.2010.5783148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5783148","Clone detection;overview;program analysis;quality assurance;software maintenance","Cloning;Programming;Electronic mail;Software maintenance;Data mining;Linux","program debugging;software maintenance","clone detection techniques;code duplication;software development life cycle;software maintenance;software support;copy-and-paste programming;mental code patterns;performance optimizations;software bugs;source code size;code comprehension","","5","","","IEEE","31 May 2011","","","IEEE","IEEE Conferences"
"Code Similarities Beyond Copy & Paste","E. Juergens; F. Deissenboeck; B. Hummel","Institut für Informatik, Technische Universität München, Germany; Institut für Informatik, Technische Universität München, Germany; Institut für Informatik, Technische Universität München, Germany","2010 14th European Conference on Software Maintenance and Reengineering","17 Feb 2011","2010","","","78","87","Redundant source code hinders software maintenance, since updates have to be performed in multiple places. This holds independent of whether redundancy was created by copy&paste or by independent development of behaviorally similar code. Existing clone detection tools successfully discover syntactically similar redundant code. They thus work well for redundancy that has been created by copy&paste. But: how syntactically similar is behaviorally similar code of independent origin? This paper presents the results of a controlled experiment that demonstrates that behaviorally similar code of independent origin is highly unlikely to be syntactically similar. In fact, it is so syntactically different, that existing clone detection approaches cannot identify more than 1% of such redundancy. This is unfortunate, as manual inspections of open source software indicate that behaviorally similar code of independent origin does exist in practice and does present problems to maintenance.","1534-5351","978-0-7695-4321-5","10.1109/CSMR.2010.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5714422","code similarity;open source","Cloning;Detectors;Manuals;Redundancy;Inspection;Java;Software maintenance","public domain software;software maintenance","code similarities;copy&paste;redundant source code;software maintenance;open source software","","29","","28","IEEE","17 Feb 2011","","","IEEE","IEEE Conferences"
"Designing Maintainable XML Transformations","S. Karus; M. Dumas","University Of Tartu, Estonia; University Of Tartu, Estonia","2010 14th European Conference on Software Maintenance and Reengineering","17 Feb 2011","2010","","","137","145","Modern applications often rely on XML to represent data internally and to interact with other applications and with end users. XSL transformations are commonly employed to transform between the internal representations of XML documents manipulated by an application and representations used for interaction with end-users and with other applications. These XSL transformations need to be updated whenever the underlying XML formats evolve. To address this maintenance problem, we formulate a number of guidelines for designing XSL transformations that are resilient to changes in the schema of the input XML documents. These guidelines are evaluated experimentally on the basis of three case studies. The evaluation shows that the use of these guidelines leads to more concise XSL transformations and to significant reductions in the amount of changes required to adapt existing XSL transformations in response to changes in the input schema.","1534-5351","978-0-7695-4321-5","10.1109/CSMR.2010.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5714428","Software maintenance;forward compatibility;XML;XSL Transformations","Containers;Cities and towns;Europe;Navigation;HTML;Software maintenance","XML","XML transformations;end users;XML documents;XSL transformations","","1","","16","IEEE","17 Feb 2011","","","IEEE","IEEE Conferences"
