"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Comparison and Evaluation of Clone Detection Tools","S. Bellon; R. Koschke; G. Antoniol; J. Krinke; E. Merlo","Axivion GmbH, Stuttgart, Germany; Universitat Bremen, Bremen, Germany; Département de Génie Informatique, École Polytechnique de Montréal, Canada; FernUniversität Hagen, Hagen, Germany; Department of Computer Engineering, Ecole Polytechnique Montreal, Montreal, QUE, Canada","IEEE Transactions on Software Engineering","13 Aug 2007","2007","33","9","577","591","Many techniques for detecting duplicated source code (software clones) have been proposed in the past. However, it is not yet clear how these techniques compare in terms of recall and precision as well as space and time requirements. This paper presents an experiment that evaluates six clone detectors based on eight large C and Java programs (altogether almost 850 KLOC). Their clone candidates were evaluated by one of the authors as independent third party. The selected techniques cover the whole spectrum of the state-of-the-art in clone detection. The techniques work on text, lexical and syntactic information, software metrics, and program dependency graphs.","1939-3520","","10.1109/TSE.2007.70725","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288192","Redundant code;duplicated code;software clones","Cloning;Computer Society;Detectors;Java;Software metrics;Concrete;Software tools;Visualization;Fingerprint recognition;Abstracts","program diagnostics;program verification;software metrics","clone detection tool;duplicated source code detection;text information;lexical information;syntactic information;software metrics;program dependency graphs","","463","1","44","IEEE","13 Aug 2007","","","IEEE","IEEE Journals"
"Finding Clones with Dup: Analysis of an Experiment","B. S. Baker","Berkeley Heights, NJ, USA","IEEE Transactions on Software Engineering","13 Aug 2007","2007","33","9","608","621","An experiment was carried out by a group of scientists to compare different tools and techniques for detecting duplicated or near-duplicated source code. The overall comparative results are presented elsewhere. This paper takes a closer look at the results for one tool, Dup, which finds code sections that are textually the same or the same except for systematic substitution of parameters such as identifiers and constants. Various factors that influenced the results are identified and their impact on the results is assessed via rerunning Dup with changed options and modifications. These improve the performance of Dup with regard to the experiment and could be incorporated into a postprocessor to be used with other tools.","1939-3520","","10.1109/TSE.2007.70720","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288194","Redundant code;duplicated code;softwareclones","Cloning;Java;Computer bugs;Plagiarism;Data structures;Design methodology;Software tools;Tree graphs;Particle measurements","software reusability;software tools","Dup;source code;code sections;systematic substitution;postprocessor","","42","","18","IEEE","13 Aug 2007","","","IEEE","IEEE Journals"
"Bad-Smell Metrics for Aspect-Oriented Software","K. Srivisut; P. Muenchaisri","Software Engineering Laboratory, Center of Excellence in Software Engineering, Department of Computer Engineering, Faculty of Engineering, Chulalongkom University, Bangkok, Thailand; Software Engineering Laboratory, Center of Excellence in Software Engineering, Department of Computer Engineering, Faculty of Engineering, Chulalongkom University, Bangkok, Thailand","6th IEEE/ACIS International Conference on Computer and Information Science (ICIS 2007)","23 Jul 2007","2007","","","1060","1065","Aspect-oriented programming (AOP) is a new programming paradigm that improves separation of concerns by decomposing the crosscutting concerns in aspect modules. Bad smells are metaphors to describe software patterns that are generally associated with bad design and bad programming of object-oriented programming (OOP). New notions and different ways of thinking for developing aspect-oriented (AO) software inevitably introduce bad smells which are specific bad design and bad programming in AO software called AO bad smells. Software metrics have been used to measure software artifact for a better understanding of its attributes and to assess its quality. Bad-smell metrics should be used as indicators for determining whether a particular fraction of AO code contains bad smells or not. Therefore, this paper proposes definition of metrics corresponding to the characteristic of each AO bad smell as a means to detecting them. The proposed bad-smell metrics are validated and the results show that the proposed bad- smell metrics can preliminarily indicate bad smells hidden in AO software.","","0-7695-2841-4","10.1109/ICIS.2007.68","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4276524","","Software metrics;Software engineering;Programming profession;Software measurement;Laboratories;Object oriented programming;Software quality;Encapsulation;Packaging;Particle measurements","object-oriented programming;software metrics;software quality","bad-smell metrics;aspect-oriented software;aspect-oriented programming;separation of concerns;crosscutting concern decomposition;aspect modules;software patterns;bad design;bad programming;object-oriented programming;software metrics;software artifact measurement;software attributes;software quality assessment","","11","","17","IEEE","23 Jul 2007","","","IEEE","IEEE Conferences"
"Refactoring--Does It Improve Software Quality?","K. Stroggylos; D. Spinellis","Department of Management Science and Technology, Athens University of Economics and Business, Athens, Greece; Department of Management Science and Technology, Athens University of Economics and Business, Athens, Greece","Fifth International Workshop on Software Quality (WoSQ'07: ICSE Workshops 2007)","16 Jul 2007","2007","","","10","10","Software systems undergo modifications, improvements and enhancements to cope with evolving requirements. This maintenance can cause their quality to decrease. Various metrics can be used to evaluate the way the quality is affected. Refactoring is one of the most important and commonly used techniques of transforming a piece of software in order to improve its quality. However, although it would be expected that the increase in quality achieved via refactoring is reflected in the various metrics, measurements on real life systems indicate the opposite. We analyzed source code version control system logs of popular open source software systems to detect changes marked as refactorings and examine how the software metrics are affected by this process, in order to evaluate whether refactoring is effectively used as a means to improve software quality within the open source community.","","0-7695-2959-3","10.1109/WOSQ.2007.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4273477","","Software quality;Software systems;Software metrics;Open source software;Maintenance;Environmental economics;Technology management;Control systems;Data mining;Software measurement","software metrics;software quality","software quality;refactoring;source code version control system;open source software systems;software metrics","","80","","40","IEEE","16 Jul 2007","","","IEEE","IEEE Conferences"
"An Integrated Approach to Quality Modelling","S. Wagner; F. Deissenboeck","Institut für Informatik, Technische Universitat Münich, Garching, Germany; Institut für Informatik, Technische Universitat Münich, Garching, Germany","Fifth International Workshop on Software Quality (WoSQ'07: ICSE Workshops 2007)","16 Jul 2007","2007","","","1","1","Software quality is described by various views using different attributes and models. All these types of software quality have their own benefits and applications. However, the isolated solutions do not allow an integrated view on software quality. This renders a comprehensive analysis of software difficult and causes overlaps and inconsistencies in the models. Therefore, this paper proposes an integrated approach to quality modelling. The approach is based on the idea to use an explicit meta-model that provides the means to develop a base quality model. This base model contains the relevant relationships w.r.t. quality. Furthermore, so-called purpose models are derived by quantifying from this basis in order to aid specific tasks in quality management. The approach is illustrated with a proven example of a meta-model and derived quality model for maintainability.","","0-7695-2959-3","10.1109/WOSQ.2007.3","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4273468","","Software quality;Maintenance engineering;Costs;Software engineering;Coordinate measuring machines;Application software;Quality management;Quality assurance;Particle measurements;Software measurement","software quality","quality modelling;software quality;meta-model;quality management","","12","","14","IEEE","16 Jul 2007","","","IEEE","IEEE Conferences"
"Large-Scale Code Reuse in Open Source Software","A. Mockus","Avaya Laboratories Research, Basking Ridge, NJ, USA","First International Workshop on Emerging Trends in FLOSS Research and Development (FLOSS'07: ICSE Workshops 2007)","16 Jul 2007","2007","","","7","7","We are exploring the practice of large-scale reuse involving at least a group of source code files. Our research question is to determine the extent of such reuse occurring in open source projects, to identify the code that is reused the most, and to investigate patterns of large-scale reuse. We start by identifying a sample of projects involving all code in several large repositories of open source projects, all projects bundled with popular distributions of Linux and BSD, and several large individual projects. In the next step we obtain the source code and identify groups of files reused among projects and determine the code that is most widely reused in our sample. Our findings indicate that more than 50% of the files were used in more than one project. The most widely reused components were small and represented templates requiring major and minor modifications and a group of files reused without any change. Some widely reused components involved hundreds of files.","","0-7695-2961-5","10.1109/FLOSS.2007.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4273078","","Large-scale systems;Open source software;Business;Licenses;Linux;Cloning;Research and development;Companies;Packaging;Advertising","Linux;public domain software;software reusability","large-scale code reuse;open source software;source code files;Linux","","66","1","9","IEEE","16 Jul 2007","","","IEEE","IEEE Conferences"
"Evaluating Aspect Mining Techniques: A Case Study","C. K. Roy; M. Gias Uddin; B. Roy; T. R. Dean","School of Computing, Queen''s University Belfast, Kingston, ONT, Canada; School of Computing, Queen''s University Belfast, Kingston, ONT, Canada; School of Computing, Queen''s University Belfast, Kingston, ONT, Canada; Department of Electrical and Computer Engineering, Queen''s University Belfast, Kingston, ONT, Canada","15th IEEE International Conference on Program Comprehension (ICPC '07)","9 Jul 2007","2007","","","167","176","Aspect mining aims at identifying cross-cutting concerns in existing systems and therefore advocates the adaption to an aspect-oriented design. This paper presents a case study examining three existing aspect mining techniques from the literature by applying them to four different open source java applications. We compare and evaluate the individual technique and confirm the findings of a previous study of combining different aspect mining techniques in order to get better results with less manual intervention.","1092-8138","0-7695-2860-0","10.1109/ICPC.2007.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4268251","","Scattering;Java;Application software;Manuals;Guidelines","data mining;Java;software maintenance","aspect mining techniques evaluation;aspect-oriented design;open source Java applications","","5","","26","IEEE","9 Jul 2007","","","IEEE","IEEE Conferences"
"Evaluating the Harmfulness of Cloning: A Change Based Experiment","A. Lozano; M. Wermelinger; B. Nuseibeh","Computing Department, The Open University, UK; Computing Department, The Open University, UK; Computing Department, The Open University, UK","Fourth International Workshop on Mining Software Repositories (MSR'07:ICSE Workshops 2007)","11 Jun 2007","2007","","","18","18","Cloning is considered a harmful practice for software maintenance because it requires consistent changes of the entities that share a cloned fragment. However this claim has not been refuted or confirmed empirically. Therefore, we have developed a prototype tool, CloneTracker, in order to study the rate of change of applications containing clones. This paper describes CloneTracker and illustrates its preliminary application on a case study.","2160-1860","0-7695-2950-X","10.1109/MSR.2007.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228655","","Cloning;Degradation;Software maintenance;Software prototyping;Prototypes;Application software;Java;Telecommunications;Linux;Kernel","configuration management;program diagnostics;software maintenance;software prototyping","software maintenance;prototype tool;CloneTracker","","43","","11","IEEE","11 Jun 2007","","","IEEE","IEEE Conferences"
"Analysis of the Linux Kernel Evolution Using Code Clone Coverage","S. Livieri; Y. Higo; M. Matsushita; K. Inoue","Graduate School of Information Science and Technology, Osaka University, Toyonaka, Osaka, Japan; Graduate School of Information Science and Technology, Osaka University, Toyonaka, Osaka, Japan; Graduate School of Information Science and Technology, Osaka University, Toyonaka, Osaka, Japan; Graduate School of Information Science and Technology, Osaka University, Toyonaka, Osaka, Japan","Fourth International Workshop on Mining Software Repositories (MSR'07:ICSE Workshops 2007)","11 Jun 2007","2007","","","22","22","Most studies of the evolution of software systems are based on the comparison of simple software metrics. In this paper, we present our preliminary investigation of the evolution of the Linux kernel using code-clone analysis and the code-clone coverage metrics. We examined 136 versions of the stable Linux kernel using a distributed extension of the code clone detection tool CCFinder. The result is shown as a heat map.","2160-1860","0-7695-2950-X","10.1109/MSR.2007.1","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228659","","Linux;Kernel;Cloning;Software systems;Performance analysis;Information analysis;Information science;Software metrics;Large-scale systems;Vehicles","Linux;operating system kernels;software metrics","Linux kernel evolution;code clone detection tool;software metrics","","17","","9","IEEE","11 Jun 2007","","","IEEE","IEEE Conferences"
"Release Pattern Discovery via Partitioning: Methodology and Case Study","A. Hindle; M. W. Godfrey; R. C. Holt","University of Waterloo, Canada; University of Waterloo, Canada; University of Waterloo, Canada","Fourth International Workshop on Mining Software Repositories (MSR'07:ICSE Workshops 2007)","11 Jun 2007","2007","","","19","19","The development of Open Source systems produces a variety of software artifacts such as source code, version control records, bug reports, and email discussions. Since the development is distributed across different tool environments and developer practices, any analysis of project behavior must be inferred from whatever common artifacts happen to be available. In this paper, we propose an approach to characterizing a project's behavior around the time of major and minor releases; we do this by partitioning the observed activities, such as artifact check-ins, around the dates of major and minor releases, and then look for recognizable patterns. We validate this approach by means of a case study on the MySQL database system; in this case study, we found patterns which suggested MySQL was behaving consistently within itself. These patterns included testing and documenting that took place more before a release than after and that the rate of source code changes dipped around release time.","2160-1860","0-7695-2950-X","10.1109/MSR.2007.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228656","","Capability maturity model;Programming;Testing;Software measurement;Control systems;Time measurement;Software tools;Data analysis;Data mining;Open source software","public domain software;software architecture;SQL","open source system;software artifacts;source code;MySQL database system;artifact check-ins","","16","","12","IEEE","11 Jun 2007","","","IEEE","IEEE Conferences"
"Mining a Change-Based Software Repository","R. Robbes","Faculty of Informatics, University of Lugano, Switzerland","Fourth International Workshop on Mining Software Repositories (MSR'07:ICSE Workshops 2007)","11 Jun 2007","2007","","","15","15","Although state-of-the-art software repositories based on versioning system information are useful to assess the evolution of a software system, the information they contain is limited in several ways. Versioning systems such as CVS or subversion store only snapshots of text files, leading to a loss of information: The exact sequence of changes between two versions is hard to recover. In this paper we present an alternative information repository which stores incremental changes to the system under study, retrieved from the IDE used to build the software. We then use this change-based model of system evolution to assess when refactorings happen in two case studies, and compare our findings with refactoring detection approaches on classical versioning system repositories.","2160-1860","0-7695-2950-X","10.1109/MSR.2007.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228652","","Software systems;Application software;Sampling methods;Informatics;Information retrieval;Degradation;Software design;Concrete;Frequency;Software performance","configuration management;data mining;software maintenance;software prototyping","change-based software repository;data mining;versioning system information;software evolution;information repository;software refactoring","","33","6","18","IEEE","11 Jun 2007","","","IEEE","IEEE Conferences"
